authority_code,statutory_ref,act_treaty,entry_class
"262045","10 Stat. 244","March 3, 1853","CA IL Grant - Min Only"
"262046","10 Stat. 308","July 22, 1854","Arizona Territorial Res"
"262047","10 Stat. 308","July 22, 1854","Arizona Territorial Res"
"262048","36 Stat. 557","June 20, 1910","Arizona Enabling Act"
"262049","46 Stat. 1202","February 21, 1931","Arizona-Lieu Selections"
"262050","10 Stat. 308","July 22, 1854","New Mexico Territorial Res"
"262051","30 Stat. 484","June 21, 1898","New Mexico Territorial Grant"
"262052","36 Stat. 557","June 20, 1910","New Mexico Enabling Act"
"262053","34 Stat. 227","June 9, 1906","Albuquerque Park Land"
"262055","10 Stat. 611","February 21, 1855","Utah Territorial Grant"
"262056","28 Stat. 107","July 16, 1894","Utah Enabling Act"
"262057","47 Stat. 1418","March 1, 1933","Lieu Selection-Utah"
"262060","12 Stat. 808","March 3, 1863","Idaho Territorial Act"
"262061","12 Stat. 808","March 3, 1863","Idaho Territorial Act"
"262095","26 Stat. 222","July 10, 1890","Wyoming Enabling Act"
"262099","","NA","To Be Defined - State Grant"
"262100","44 Stat. 1022","January 21,1927","Indemnity Selections"
"262101","","NA","Indemnity List Base-Valid Lie"
"262200","36 Stat. 557","June 20, 1910","Quant & Spec Grant Selection"
"262201","12 Stat. 503","July 2, 1862","State Grant-Agri College"
"262202","21 Stat. 326","February 18,1881","State Grant-University Land"
"262210","Various Decisions","NA","Nav Water Bed Conveyance"
"262211","","NA","Tidelands"
"262300","44 Stat. 1026","January 25, 1927","State Grant Min School Sec"
"262400","48 Stat. 1185","June 21, 1934","State Grant-School Sec Patent"
"262500","9 Stat. 519","September 28, 1850","Swamp Land Grant-Patent"
"262501","9 Stat. 352","March 2, 1849","Swamp Land Grant-No Patent"
"262600","28 Stat. 372","August 18, 1894","Carey Act-Irrigation"
"262601","28 Stat. 372","August 18, 1894","Carey Act-Reconveyance"
"262700","72 Stat. 339","July 7, 1958","State Grant,Alaska"
"262710","70 Stat. 709","July 28, 1956","AK-Mental Health Grants"
"262711","72 Stat. 340","July 7, 1958","Community Grants-AK"
"262712","72 Stat. 340","July 7, 1958","Community Grant Forest-AK"
"262713","72 Stat. 339","July 7, 1958","AK-Terms & Conditions Gt"
"262714","72 Stat. 339","July 7, 1958","AK-School Lands Settlement"
"262720","45 Stat. 1091","January 21, 1929","AK-University Grant"
"262722","45 Stat. 1091","January 21, 1929","Clear-List University"
"262730","72 Stat. 339","July 7, 1958","General Grant"
"262740","72 Stat. 339","July 7, 1958","Mineral Estate"
"262801","13 Stat. 355","July 2, 1864","Grant-Military Wagon Road OR"
"262820","47 Stat. 324","June 18, 1932","Gt-Metro Water Dist"
"262821","49 Stat. 1892","June 23, 1936","Gt-City Of Los Angeles"
"262901","4 Stat. 234","March 2, 1827","GT Canal,IL & Lake Mich"
"262902","4 Stat. 305","March 2, 1827","GT Canal,Miami-Dayton"
"262903","9 Stat. 83","August 8, 1846","GT Canal, Fox & Wisconsin"
"262904","10 Stat. 35","August 26, 1852","GT Canal, St. Mary's Ship"
"262905","14 Stat. 80","July 3, 1866","GT Canal, Lac La Belle"
"262906","13 Stat. 519","March 3, 1865","GT Canal, Portage Lake"
"262907","14 Stat. 30","April 10, 1866","GT Canal, breakwater-ship"
"263000","54 Stat. 898","September 18, 1940","Grant-RR-Railroad"
"263001","14 Stat. 292","July 27, 1866","Grant-RR-Atlantic and Pacific"
"263002","29 Stat. 622","March 3, 1897","Grant-RR Santa Fe Pacific"
"263003","13 Stat. 365","July 2, 1864","Grant-RR Northern Pacific"
"263004","12 Stat. 489","July 1, 1862","Grant-RR Union and Central"
"263005","11 Stat. 195","March 3, 1857","Grant-RR"
"263006","14 Stat. 239","July 25, 1866","Grant-RR O and C"
"263007","35 Stat. 647","February 25, 1909","Grant-RR O and C Forfeiture"
"263010","18 Stat. 194","June 22, 1874","Grant-RR Lieu Selection"
"263015","9 Stat. 466","September 20, 1850","Gt-RR, Chicago To Mobile"
"263016","10 Stat. 8","June 10, 1852","Gt-RR In Missouri"
"263017","11 Stat. 9","May 15, 1856","Gt-RR In Iowa"
"263018","11 Stat. 15","May 17, 1856","Gt-RR, Florida & Alabama"
"263019","11 Stat. 17","June 3, 1856","Gt-RR In Alabama"
"263020","11 Stat. 20","June 3, 1856","Gt-RR In Wisconsin"
"263021","11 Stat. 21","June 3, 1856","Gt-RR In Michigan"
"263022","11 Stat. 30","August 11, 1856","Gt-RR In Mississippi"
"263023","11 Stat. 195","March 3, 1857","Gt-RR In Minnesota"
"263024","13 Stat. 72","May 12, 1864","Gt-RR In Iowa"
"263025","10 Stat. 155","February 9, 1853","Gt-RR, Arkansas And MO"
"263099","","NA","To Be Defined-Grant-RR"
"263100","54 Stat. 898","September 18, 1940","Patent for Land Sold by RR"
"263101","","NA","RR Innocent Purchaser"
"264000","60 Stat. 170","May 13, 1946","Airport Conveyance"
"264001","60 Stat. 170","May 13, 1946","Airport Reconveyance"
"265101","85 Stat. 688","December 18, 1971","Village Selections-AK"
"265102","85 Stat. 688","December 18, 1971","Reallocated Selection-AK"
"265200","85 Stat. 688","December 18, 1971","Regional Selections-AK"
"265201","85 Stat. 688","December 18, 1971","Subsurface Estate Sel-AK"
"265202","85 Stat. 688","December 18, 1971","Mineral Lieu Selection-AK"
